Name,Indice Glycémique ( Glucose = 100 ),+-,Country,Type,Sub-Type,Brand or variety,Cooking method,Image
Apple / Pomme,38,2,n/a,Fruits,,,,
Apple Juice / Jus de pomme,40,1,n/a,Fruits,,,,
Apple dried / Pomme séchée,29,n/a,Australia,Fruits,,,,
Apricots raw / Abricots secs,57,n/a,Italy,Fruits,,,,
Apricots canned in light syrup / Abricots en conserve en sirop,64,n/a,Canada,Fruits,,,,
Apricots dried / Abricots secs,31,1,n/a,Fruits,,,,
Banana / Banane,52,4,n/a,Fruits,,,,
Breadfruit / Fruit à pain,68,n/a,Australia,Fruits,,,,
Cherries/ Cerises,22,n/a,Canada,Fruits,,,,
Chico / Sapotille,40,n/a,Phillipines,Fruits,,Zapota zapotilla coville,,
Custard apple / Pomme sucre,54,2,Australia,Fruits,,,,
Dates dried / Dates séchées,103,21,Australia,Fruits,,Dessert maid,,
Figs dried / Figues séchées,61,6,Australia,Fruits,,,,
Grapefruit / Pamplemousse,25,n/a,Canada,Fruits,,,,
Grapefruit juice unsweetened / Jus de pamplemousse non sucré ,48,n/a,Canada,Fruits,,Sunpac,,
Grapes / Raisins,46,3,n/a,Fruits,,,,
Grapes black / Raisins noirs,59,n/a,Australia,Fruits,,Waltham Cross,,
Kiwi / Kiwi,53,6,n/a,Fruits,,,,kiwis.jpg
Mango / Mangue,51,5,n/a,Fruits,,,,
Marmalade orange / Confiture orange,48,9,Australia,Fruits,,,,
Oranges,42,3,n/a,Fruits,,,,
Orange Juice / Jus d’orange,52,3,n/a,Fruits,,,,
Papaya / Papaye,59,1,n/a,Fruits,,Carica papaya,,
Peach / Pêche,42,14,n/a,Fruits,,,,
Peach canned in natural juice / Pêche en conserve dans son jus,38,8,n/a,Fruits,,,,
Peach canned in heavy syrup / Pêche en conserve dans du sirop épais,58,11,Australia,Fruits,,Letona Foods,,
Peach canned in light syrup / Pêche en conserve dans du sirop léger,52,n/a,n/a,Fruits,,Delmonte,,
Pear / Poire,38,2,n/a,Fruits,,,,
Pear canned in pear juice / Poire en conserve dans du jus de poire ,44,n/a,n/a,Fruits,,Delmonte,,
Pineapple / Ananas,59,8,n/a,Fruits,,Ananas comosus,,
Pineapple juice unsweetened / Jus d’ananas sans sucre,46,n/a,Canada,Fruits,,,,
Plum / Prune,39,15,n/a,Fruits,,,,
Prunes pitted / Pruneaux séchés,29,4,USA,Fruits,,,,
Raisins / Raisins secs,64,11,Canada,Fruits,,,,
Rockmelon / Melon,65,9,Canada,Fruits,,,,
Strawberries fresh / Fraises fraîches,40,7,Australia,Fruits,,,,
Strawberry jam / Confiture de fraises,51,10,n/a,Fruits,,,,
Sultanas / Sultanine,56,11,n/a,Fruits,,,,
Tomato juice no added sugar / Jus de tomates sans sucres ajoutés,38,4,Australia,Fruits,,Berri Ltd,,
Watermelon / Pastèque,72,13,Australia,Fruits,,,,